raw_topic,raw_subtopic,count,topic_family,canonical_subtopic,question_type
Sözcükte Anlam,Yay Ayraçlı Açıklama,1,Sozcukte Anlam,Sozcukte Anlam - Bosluk Doldurma/Tanim,sozcukte_anlam_bosluk_doldurma_tanim
Paragraf,Ortak Sonuç,1,Paragraf,Paragraf - Diger,paragraf_diger
Paragraf,Duygu Belirleme,1,Paragraf,Paragraf - Diger,paragraf_diger
Şiirde Anlam,Yargı–Dize Eşleştirme,1,Sozel Mantik,Sozel Mantik - Genel,sozel_mantik_genel
Fiilde Çatı,Edilgen Fiil,1,Paragraf,Paragraf - Diger,paragraf_diger
Noktalama,Virgülün İşlevleri,1,Yazim ve Noktalama,Yazim ve Noktalama - Noktalama (Virgul),yazim_ve_noktalama_noktalama_virgul
Anlatım Özellikleri,Dil ve Anlatım,1,Paragraf,Paragraf - Diger,paragraf_diger
Paragraf,Yazarın Tutumu,1,Paragraf,Paragraf - Diger,paragraf_diger
Paragraf,Sıralama,1,Sozel Mantik,Sozel Mantik - Genel,sozel_mantik_genel
Sözcükte Anlam,Deyim ve Söz Grupları,1,Sozcukte Anlam,Sozcukte Anlam - Deyim/Atasozi,sozcukte_anlam_deyim_atasozi
Paragraf,Ana Düşünce ve Yargı,1,Paragraf,Paragraf - Ana Dusunce,paragraf_ana_dusunce
Paragraf Tamamlama,Anlam Akışı,1,Paragraf,Paragraf - Anlam Akisi,paragraf_anlam_akisi
Paragraf Bilgisi,Metin Düzenleme,1,Paragraf,Paragraf - Diger,paragraf_diger
Anlatım Bozuklukları,Çatı Uyumsuzluğu,1,Paragraf,Paragraf - Diger,paragraf_diger
Noktalama,Noktalama Kullanımı,1,Sozcukte Anlam,Sozcukte Anlam - Bosluk Doldurma/Tanim,sozcukte_anlam_bosluk_doldurma_tanim
Sözcükte Anlam,İcat ve Keşif Kavramları,1,Sozcukte Anlam,Sozcukte Anlam - Diger,sozcukte_anlam_diger
Noktalama,Ünlem ve Kesme İşareti,1,Yazim ve Noktalama,Yazim ve Noktalama - Noktalama (Diger),yazim_ve_noktalama_noktalama_diger
Edebiyat,Tema,1,Edebiyat ve Soz Sanatlari,Edebiyat - Diger,edebiyat_diger
Edebiyat,Şiir İnceleme,1,Edebiyat ve Soz Sanatlari,Edebiyat - Siir,edebiyat_siir
Dil Bilgisi,Cümle Çeşitleri,1,Dil Bilgisi,Dil Bilgisi - Diger,dil_bilgisi_diger
Anlatım Teknikleri,Örnekleme,1,Paragraf,Paragraf - Diger,paragraf_diger
Edebiyat,Hikâye Türleri,1,Edebiyat ve Soz Sanatlari,Edebiyat - Diger,edebiyat_diger
Dil Bilgisi,Anlam,1,Dil Bilgisi,Dil Bilgisi - Diger,dil_bilgisi_diger
Noktalama,Noktalama İşaretleri Kullanımı,1,Sozcukte Anlam,Sozcukte Anlam - Bosluk Doldurma/Tanim,sozcukte_anlam_bosluk_doldurma_tanim
Paragraf,Tablo/Grafik Okuma,1,Paragraf,Paragraf - Diger,paragraf_diger
Anlatım Bozuklukları,Kelime Yanlışlığı,1,Paragraf,Paragraf - Diger,paragraf_diger
Anlatım,Anlatım Özellikleri,1,Paragraf,Paragraf - Diger,paragraf_diger
Yazım Kuralları,Birleşik Kelime Yazımı,1,Yazim ve Noktalama,Yazim ve Noktalama - Yazim Kurallari,yazim_ve_noktalama_yazim_kurallari
Anlatım Teknikleri,Diyalog,1,Paragraf,Paragraf - Diger,paragraf_diger
Paragraf,Duygu,1,Paragraf,Paragraf - Diger,paragraf_diger
Anlatım,Öznel-Nesnel Anlatım,1,Cumlede Anlam,Cumlede Anlam - Ortulu/Nesnel-Oznel,cumlede_anlam_ortulu_nesnel_oznel
Cümlede Anlam,Sebep-Sonuç İlişkisi,1,Cumlede Anlam,Cumlede Anlam - Anlam Iliskileri,cumlede_anlam_anlam_iliskileri
Cümlede Anlam,Deyim,1,Sozcukte Anlam,Sozcukte Anlam - Deyim/Atasozi,sozcukte_anlam_deyim_atasozi
Cümlede Anlam,Anlam Çıkarma,1,Cumlede Anlam,Cumlede Anlam - Diger,cumlede_anlam_diger
Cümlede Anlam,Düşüncenin Gelişimi,1,Cumlede Anlam,Cumlede Anlam - Diger,cumlede_anlam_diger
Paragraf,Paragrafta Ayrıntı,1,Paragraf,Paragraf - Diger,paragraf_diger
Paragraf,Ana Duygu,1,Paragraf,Paragraf - Diger,paragraf_diger
Paragraf,Anlatıcı,1,Paragraf,Paragraf - Diger,paragraf_diger
Paragraf,Çok Anlamlılık,1,Sozcukte Anlam,Sozcukte Anlam - Cok Anlamlilik,sozcukte_anlam_cok_anlamlilik
Paragraf,Metin Özellikleri,1,Paragraf,Paragraf - Diger,paragraf_diger
Paragraf,Anlatım Özellikleri,1,Paragraf,Paragraf - Diger,paragraf_diger
Paragraf,Paragraf Bölme,1,Paragraf,Paragraf - Diger,paragraf_diger
Dil Bilgisi,Fiilimsi Türleri,1,Dil Bilgisi,Dil Bilgisi - Fiilimsiler,dil_bilgisi_fiilimsiler
Dil Bilgisi,Adlaşmış Sıfat-Fiil,1,Dil Bilgisi,Dil Bilgisi - Fiilimsiler,dil_bilgisi_fiilimsiler
Söz Sanatları,Abartma,1,Edebiyat ve Soz Sanatlari,Soz Sanatlari - Genel,soz_sanatlari_genel
